projectname,project_match_score,project_match_reason,sco,excel_row_number,versionnumber,with_party,started_on,ended_on,total_calendar_days,total_business_days,source_start_event,source_end_event,needs_lori_to_confirm,reasoning_because_this_was_complex,raw_status_text
Maestro Firewall Upgrade,100,project supplied directly by Lori's Completed SCOs consolidated lists v1.0.xlsx,CR-CAP-038 Maestro GEN_SEC Refresh,2,V1,ADSL,2025-03-31,2025-04-01,2,2,Mar 31/25 - with Sam,"Apr 1/25 - V1 sent to Province, pending tech stew",,"The lifecycle opened on the ADSL side until the first Province handoff was visible. The send/submission date is counted with the sender, per Sam.","Aug 27/25 - Signed
Aug 26/25 - approved for signing; Province to confirm signatory
Aug 7/25 - V3 sent to Province
Aug 6/25 - V2.3 rec'd
July 8/25 - V1.1 sent to Province
July 7/25 - V1.1 with Cathy/Joyce
July 4/25 - Joyce updating table
June 27/25 - internal meeting scheduled for July 4
June 24/25 - with Sam / Joyce
June 12/25 - Still waiting on quotes for a few replacement items
May 27/25 - Pending client design approval and final quotes from vendors.
May 15/25 - Brian and Sam discussing
Apr 22/25 - No Tech Stew approval needed, Province has V1
Apr 1/25 - V1 sent to Province, pending tech stew
Mar 31/25 - with Sam"
Maestro Firewall Upgrade,100,project supplied directly by Lori's Completed SCOs consolidated lists v1.0.xlsx,CR-CAP-038 Maestro GEN_SEC Refresh,2,V2,CSBC,2025-04-02,2025-05-14,43,31,"Apr 1/25 - V1 sent to Province, pending tech stew",May 15/25 - Brian and Sam discussing,ADSL/internal work resumed after a Province send without an explicit returned/back/received line; v9 inferred a CSBC interval followed by the next ADSL turn.,Province held the document after the prior send until the next explicit or inferred hand-back.,"Aug 27/25 - Signed
Aug 26/25 - approved for signing; Province to confirm signatory
Aug 7/25 - V3 sent to Province
Aug 6/25 - V2.3 rec'd
July 8/25 - V1.1 sent to Province
July 7/25 - V1.1 with Cathy/Joyce
July 4/25 - Joyce updating table
June 27/25 - internal meeting scheduled for July 4
June 24/25 - with Sam / Joyce
June 12/25 - Still waiting on quotes for a few replacement items
May 27/25 - Pending client design approval and final quotes from vendors.
May 15/25 - Brian and Sam discussing
Apr 22/25 - No Tech Stew approval needed, Province has V1
Apr 1/25 - V1 sent to Province, pending tech stew
Mar 31/25 - with Sam"
Maestro Firewall Upgrade,100,project supplied directly by Lori's Completed SCOs consolidated lists v1.0.xlsx,CR-CAP-038 Maestro GEN_SEC Refresh,2,V3,ADSL,2025-05-15,2025-07-08,55,39,May 15/25 - Brian and Sam discussing,July 8/25 - V1.1 sent to Province,ADSL/internal work resumed after a Province send without an explicit returned/back/received line; v9 inferred a CSBC interval followed by the next ADSL turn.,"ADSL/internal work resumed, so a new ADSL editing turn was inferred before the next send/signing event. The send/submission date is counted with the sender, per Sam.","Aug 27/25 - Signed
Aug 26/25 - approved for signing; Province to confirm signatory
Aug 7/25 - V3 sent to Province
Aug 6/25 - V2.3 rec'd
July 8/25 - V1.1 sent to Province
July 7/25 - V1.1 with Cathy/Joyce
July 4/25 - Joyce updating table
June 27/25 - internal meeting scheduled for July 4
June 24/25 - with Sam / Joyce
June 12/25 - Still waiting on quotes for a few replacement items
May 27/25 - Pending client design approval and final quotes from vendors.
May 15/25 - Brian and Sam discussing
Apr 22/25 - No Tech Stew approval needed, Province has V1
Apr 1/25 - V1 sent to Province, pending tech stew
Mar 31/25 - with Sam"
Maestro Firewall Upgrade,100,project supplied directly by Lori's Completed SCOs consolidated lists v1.0.xlsx,CR-CAP-038 Maestro GEN_SEC Refresh,2,V4,CSBC,2025-07-09,2025-08-06,29,21,July 8/25 - V1.1 sent to Province,Aug 6/25 - V2.3 rec'd,Explicit returned version 2.3 did not match the normalized ownership turn V4; v9 kept normalized turn labels and Lori should confirm the exact version breadcrumb.,Province held the document after the prior send until the next explicit or inferred hand-back.,"Aug 27/25 - Signed
Aug 26/25 - approved for signing; Province to confirm signatory
Aug 7/25 - V3 sent to Province
Aug 6/25 - V2.3 rec'd
July 8/25 - V1.1 sent to Province
July 7/25 - V1.1 with Cathy/Joyce
July 4/25 - Joyce updating table
June 27/25 - internal meeting scheduled for July 4
June 24/25 - with Sam / Joyce
June 12/25 - Still waiting on quotes for a few replacement items
May 27/25 - Pending client design approval and final quotes from vendors.
May 15/25 - Brian and Sam discussing
Apr 22/25 - No Tech Stew approval needed, Province has V1
Apr 1/25 - V1 sent to Province, pending tech stew
Mar 31/25 - with Sam"
Maestro Firewall Upgrade,100,project supplied directly by Lori's Completed SCOs consolidated lists v1.0.xlsx,CR-CAP-038 Maestro GEN_SEC Refresh,2,V5,ADSL,2025-08-07,2025-08-07,1,1,Aug 6/25 - V2.3 rec'd,Aug 7/25 - V3 sent to Province,,"After the returned/back event, the next ADSL turn ran until the next Province submission. The send/submission date is counted with the sender, per Sam.","Aug 27/25 - Signed
Aug 26/25 - approved for signing; Province to confirm signatory
Aug 7/25 - V3 sent to Province
Aug 6/25 - V2.3 rec'd
July 8/25 - V1.1 sent to Province
July 7/25 - V1.1 with Cathy/Joyce
July 4/25 - Joyce updating table
June 27/25 - internal meeting scheduled for July 4
June 24/25 - with Sam / Joyce
June 12/25 - Still waiting on quotes for a few replacement items
May 27/25 - Pending client design approval and final quotes from vendors.
May 15/25 - Brian and Sam discussing
Apr 22/25 - No Tech Stew approval needed, Province has V1
Apr 1/25 - V1 sent to Province, pending tech stew
Mar 31/25 - with Sam"
Maestro Firewall Upgrade,100,project supplied directly by Lori's Completed SCOs consolidated lists v1.0.xlsx,CR-CAP-038 Maestro GEN_SEC Refresh,2,V5,SIGNINGTIME,2025-08-08,2025-08-27,20,14,Aug 7/25 - V3 sent to Province,Aug 27/25 - Signed,,"The next meaningful event after the send was signing/final workflow, so no new CSBC editing turn was created.","Aug 27/25 - Signed
Aug 26/25 - approved for signing; Province to confirm signatory
Aug 7/25 - V3 sent to Province
Aug 6/25 - V2.3 rec'd
July 8/25 - V1.1 sent to Province
July 7/25 - V1.1 with Cathy/Joyce
July 4/25 - Joyce updating table
June 27/25 - internal meeting scheduled for July 4
June 24/25 - with Sam / Joyce
June 12/25 - Still waiting on quotes for a few replacement items
May 27/25 - Pending client design approval and final quotes from vendors.
May 15/25 - Brian and Sam discussing
Apr 22/25 - No Tech Stew approval needed, Province has V1
Apr 1/25 - V1 sent to Province, pending tech stew
Mar 31/25 - with Sam"
Public Cloud MCS OpenShift Project (ROSA),100,project supplied directly by Lori's Completed SCOs consolidated lists v1.0.xlsx,CR-CAP-053 CITZ MCS OpenShift Server,3,V1,ADSL,2025-06-25,2025-07-04,10,8,June 25/25 - with Cathy / Adam,July 4/25 - V1 sent to Province,,"The lifecycle opened on the ADSL side until the first Province handoff was visible. The send/submission date is counted with the sender, per Sam.","Aug 14/25 - Signed
July 30/25 - V3 sent to Province
July 28/25 - V2.1 rec'd
July 22/25 - V1.1 sent to Province
July 4/25 - V1 sent to Province
June 25/25 - with Cathy / Adam"
Public Cloud MCS OpenShift Project (ROSA),100,project supplied directly by Lori's Completed SCOs consolidated lists v1.0.xlsx,CR-CAP-053 CITZ MCS OpenShift Server,3,V2,CSBC,2025-07-05,2025-07-21,17,11,July 4/25 - V1 sent to Province,July 22/25 - V1.1 sent to Province,A new Province submission appeared without an explicit return line; v9 inferred the prior CSBC interval and then started the next ADSL turn on the new send date.,Province held the document after the prior send until the next explicit or inferred hand-back.,"Aug 14/25 - Signed
July 30/25 - V3 sent to Province
July 28/25 - V2.1 rec'd
July 22/25 - V1.1 sent to Province
July 4/25 - V1 sent to Province
June 25/25 - with Cathy / Adam"
Public Cloud MCS OpenShift Project (ROSA),100,project supplied directly by Lori's Completed SCOs consolidated lists v1.0.xlsx,CR-CAP-053 CITZ MCS OpenShift Server,3,V3,ADSL,2025-07-22,2025-07-22,1,1,July 22/25 - V1.1 sent to Province,July 22/25 - V1.1 sent to Province,A new Province submission appeared without an explicit return line; Lori should confirm the missing hand-back sequence.,"A new ADSL turn was inferred because a later Province submission occurred without an explicit return event in the source text. The send/submission date is counted with the sender, per Sam.","Aug 14/25 - Signed
July 30/25 - V3 sent to Province
July 28/25 - V2.1 rec'd
July 22/25 - V1.1 sent to Province
July 4/25 - V1 sent to Province
June 25/25 - with Cathy / Adam"
Public Cloud MCS OpenShift Project (ROSA),100,project supplied directly by Lori's Completed SCOs consolidated lists v1.0.xlsx,CR-CAP-053 CITZ MCS OpenShift Server,3,V4,CSBC,2025-07-23,2025-07-28,6,4,July 22/25 - V1.1 sent to Province,July 28/25 - V2.1 rec'd,Explicit returned version 2.1 did not match the normalized ownership turn V4; v9 kept normalized turn labels and Lori should confirm the exact version breadcrumb.,Province held the document after the prior send until the next explicit or inferred hand-back.,"Aug 14/25 - Signed
July 30/25 - V3 sent to Province
July 28/25 - V2.1 rec'd
July 22/25 - V1.1 sent to Province
July 4/25 - V1 sent to Province
June 25/25 - with Cathy / Adam"
