projectname,project_match_score,project_match_reason,sco,excel_row_number,versionnumber,with_party,started_on,ended_on,total_calendar_days,total_business_days,source_start_event,source_end_event,needs_lori_to_confirm,raw_status_text
Shared File for BCPS Phase 2,100,token overlap 1/1,SCO-PROV-565 BCPS Custom Hardware,80,V4,CSBC,2023-11-07,2023-11-07,1,1,Next day after: Nov 6/23 - V3 sent to Province,"Nov 7/23 - Province accepted V3, final with Sian for approval",,"Nov 8/23 - Completed
Nov 8/23 - Final version sent to Province
Nov 7/23 - Province accepted V3, final with Sian for approval
Nov 6/23 - V3 sent to Province
Nov 3/23 - requested Province expedite review; Province question with Bruce/Rian
Oct 30/23 - V1 sent to Province
Oct 30/23 - With Sian
Oct 27/23 - with Tyler
Oct 26/23 - with Rian / Cathy"
Shared File for BCPS Phase 2,100,token overlap 1/1,SCO-PROV-565 BCPS Custom Hardware,80,V4,SIGNINGTIME,2023-11-08,2023-11-08,1,1,Nov 8/23 - Completed,Nov 8/23 - Final version sent to Province,,"Nov 8/23 - Completed
Nov 8/23 - Final version sent to Province
Nov 7/23 - Province accepted V3, final with Sian for approval
Nov 6/23 - V3 sent to Province
Nov 3/23 - requested Province expedite review; Province question with Bruce/Rian
Oct 30/23 - V1 sent to Province
Oct 30/23 - With Sian
Oct 27/23 - with Tyler
Oct 26/23 - with Rian / Cathy"
Tenable Pilot (Addition),50,fuzzy title ratio 50,Extended Retention,2,V1,ADSL,2022-08-16,2023-12-05,477,341,Aug 16/22 - Sam / Craig / Cathy need further discussion on extended retention (Sian),Dec 5/23 - Internal meeting to be set up (by Tyler) - removing from SCO upcoming for now,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""Tenable Pilot (Addition)"" -> ""Extended Retention"" (fuzzy title ratio 50, score 50).","Dec 5/23 - Internal meeting to be set up (by Tyler) - removing from SCO upcoming for now
Aug 16/22 - Sam / Craig / Cathy need further discussion on extended retention (Sian)"
Zscaler Initiative 1 and 2,100,token overlap 2/2; hint matched: zscaler; hint matched: initiative 1; hint matched: initiave 2,SCO-PROV-578 Zscaler Design: Initiative 1,87,V1,ADSL,2023-10-27,2023-11-30,35,25,Oct 27/23 - with Rian / Cathy,Nov 30/23 - V1 sent to Province,,"Dec 1/23 - Completed
Dec 1/23 - Final version sent to Province
Dec 1/23 - Confirmed with Joshua re: Province proposed project end date, with Sian for signature
Dec 1/23 - V2.1 back from Province ok to move to final if we accept proposed end date
Nov 30/23 - V1 sent to Province
Nov 30/23 - SOW still being reviewed, request to send updated SCO over to Province from Sian/Rian
Waiting for SOW approval (there will need to be a 2nd SCO for Initiave 2)
Oct 27/23 - with Rian / Cathy"
Zscaler Initiative 1 and 2,100,token overlap 2/2; hint matched: zscaler; hint matched: initiative 1; hint matched: initiave 2,SCO-PROV-578 Zscaler Design: Initiative 1,87,V1,SIGNINGTIME,2023-12-01,2023-12-01,1,1,Dec 1/23 - Completed,Dec 1/23 - V2.1 back from Province ok to move to final if we accept proposed end date,,"Dec 1/23 - Completed
Dec 1/23 - Final version sent to Province
Dec 1/23 - Confirmed with Joshua re: Province proposed project end date, with Sian for signature
Dec 1/23 - V2.1 back from Province ok to move to final if we accept proposed end date
Nov 30/23 - V1 sent to Province
Nov 30/23 - SOW still being reviewed, request to send updated SCO over to Province from Sian/Rian
Waiting for SOW approval (there will need to be a 2nd SCO for Initiave 2)
Oct 27/23 - with Rian / Cathy"
Zscaler Initiative 3,100,token overlap 2/2,SCO-PROV-578 Zscaler Design: Initiative 1,87,V1,ADSL,2023-10-27,2023-11-30,35,25,Oct 27/23 - with Rian / Cathy,Nov 30/23 - V1 sent to Province,,"Dec 1/23 - Completed
Dec 1/23 - Final version sent to Province
Dec 1/23 - Confirmed with Joshua re: Province proposed project end date, with Sian for signature
Dec 1/23 - V2.1 back from Province ok to move to final if we accept proposed end date
Nov 30/23 - V1 sent to Province
Nov 30/23 - SOW still being reviewed, request to send updated SCO over to Province from Sian/Rian
Waiting for SOW approval (there will need to be a 2nd SCO for Initiave 2)
Oct 27/23 - with Rian / Cathy"
Zscaler Initiative 3,100,token overlap 2/2,SCO-PROV-578 Zscaler Design: Initiative 1,87,V1,SIGNINGTIME,2023-12-01,2023-12-01,1,1,Dec 1/23 - Completed,Dec 1/23 - V2.1 back from Province ok to move to final if we accept proposed end date,,"Dec 1/23 - Completed
Dec 1/23 - Final version sent to Province
Dec 1/23 - Confirmed with Joshua re: Province proposed project end date, with Sian for signature
Dec 1/23 - V2.1 back from Province ok to move to final if we accept proposed end date
Nov 30/23 - V1 sent to Province
Nov 30/23 - SOW still being reviewed, request to send updated SCO over to Province from Sian/Rian
Waiting for SOW approval (there will need to be a 2nd SCO for Initiave 2)
Oct 27/23 - with Rian / Cathy"
iStore to MySC (Addition),88,token overlap 1/2; hint matched: istore,CR-CAP-085 Amd CAP-064 EHS Custom Servers,244,V1,ADSL,2025-10-23,2025-10-27,5,3,Oct 23/25 - with Adam,Oct 27/25 - V1 sent to Province,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""iStore to MySC (Addition)"" -> ""CR-CAP-085 Amd CAP-064 EHS Custom Servers"" (token overlap 1/2; hint matched: istore, score 88).","Dec 10/25 - Adobe Sign
Dec 1/25 - V5 sent to Province
Nov 12/25 - V4 rec'd, waiting on iStore numbers from RM
Nov 10/25 - V 2 and 2.1 rec'd, V3 sent back
Oct 27/25 - V1 sent to Province
Oct 24/25 - with Sian
Oct 23/25 - with Adam"
iStore to MySC (Addition),88,token overlap 1/2; hint matched: istore,CR-CAP-085 Amd CAP-064 EHS Custom Servers,244,V2,CSBC,2025-10-28,2025-11-10,14,10,Next day after: Oct 27/25 - V1 sent to Province,"Nov 10/25 - V 2 and 2.1 rec'd, V3 sent back","Lori: please confirm this project/SCO mapping. This is an educated guess: ""iStore to MySC (Addition)"" -> ""CR-CAP-085 Amd CAP-064 EHS Custom Servers"" (token overlap 1/2; hint matched: istore, score 88).","Dec 10/25 - Adobe Sign
Dec 1/25 - V5 sent to Province
Nov 12/25 - V4 rec'd, waiting on iStore numbers from RM
Nov 10/25 - V 2 and 2.1 rec'd, V3 sent back
Oct 27/25 - V1 sent to Province
Oct 24/25 - with Sian
Oct 23/25 - with Adam"
iStore to MySC (Addition),88,token overlap 1/2; hint matched: istore,CR-CAP-085 Amd CAP-064 EHS Custom Servers,244,V4,CSBC,2025-11-11,2025-11-12,2,2,"Next day after: Nov 10/25 - V 2 and 2.1 rec'd, V3 sent back","Nov 12/25 - V4 rec'd, waiting on iStore numbers from RM","Lori: please confirm this project/SCO mapping. This is an educated guess: ""iStore to MySC (Addition)"" -> ""CR-CAP-085 Amd CAP-064 EHS Custom Servers"" (token overlap 1/2; hint matched: istore, score 88).","Dec 10/25 - Adobe Sign
Dec 1/25 - V5 sent to Province
Nov 12/25 - V4 rec'd, waiting on iStore numbers from RM
Nov 10/25 - V 2 and 2.1 rec'd, V3 sent back
Oct 27/25 - V1 sent to Province
Oct 24/25 - with Sian
Oct 23/25 - with Adam"
iStore to MySC (Addition),88,token overlap 1/2; hint matched: istore,CR-CAP-085 Amd CAP-064 EHS Custom Servers,244,V5,ADSL,2025-11-13,2025-12-01,19,13,"Next day after: Nov 12/25 - V4 rec'd, waiting on iStore numbers from RM",Dec 1/25 - V5 sent to Province,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""iStore to MySC (Addition)"" -> ""CR-CAP-085 Amd CAP-064 EHS Custom Servers"" (token overlap 1/2; hint matched: istore, score 88).","Dec 10/25 - Adobe Sign
Dec 1/25 - V5 sent to Province
Nov 12/25 - V4 rec'd, waiting on iStore numbers from RM
Nov 10/25 - V 2 and 2.1 rec'd, V3 sent back
Oct 27/25 - V1 sent to Province
Oct 24/25 - with Sian
Oct 23/25 - with Adam"
iStore to MySC (Addition),88,token overlap 1/2; hint matched: istore,CR-CAP-085 Amd CAP-064 EHS Custom Servers,244,V5,SIGNINGTIME,2025-12-10,2025-12-10,1,1,Dec 10/25 - Adobe Sign,Dec 10/25 - Adobe Sign,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""iStore to MySC (Addition)"" -> ""CR-CAP-085 Amd CAP-064 EHS Custom Servers"" (token overlap 1/2; hint matched: istore, score 88).","Dec 10/25 - Adobe Sign
Dec 1/25 - V5 sent to Province
Nov 12/25 - V4 rec'd, waiting on iStore numbers from RM
Nov 10/25 - V 2 and 2.1 rec'd, V3 sent back
Oct 27/25 - V1 sent to Province
Oct 24/25 - with Sian
Oct 23/25 - with Adam"
iStore to MySC (Addition),88,token overlap 1/2; hint matched: istore,SCO-PROV-721 Amd SCO-557 Sch23 S5.7.1 BC SAG,102,V1,ADSL,2025-03-18,2025-07-07,112,80,Mar 18/25 - Cathy reviewed; hold submission until after March 31,July 7/25 - V1 sent to Province,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""iStore to MySC (Addition)"" -> ""SCO-PROV-721 Amd SCO-557 Sch23 S5.7.1 BC SAG"" (token overlap 1/2; hint matched: istore, score 88).","Oct 2/25 - Adobe Sign
Sept 24/25 - Province confirmed VM will be ordered via SCO
Sept 16/25 - V5 sent to Province - Question with Province: Is Province ok to do iStore orders for virtual servers too? Is so, we can remove all App C charges from this SCO.
Sept 9/25 - V4.1 rec'd; with Cathy
Aug 18/25 - V3 sent to Province
Aug 5/25 - V2 rec'd; with Cathy
July 7/25 - V1 sent to Province
July 4/25 - Dan Deane confirmed servers; SCO updated, with Tyler
Mar 31/25 - With Alex Thompson to confirm servers
Mar 18/25 - Cathy reviewed; hold submission until after March 31"
iStore to MySC (Addition),88,token overlap 1/2; hint matched: istore,SCO-PROV-721 Amd SCO-557 Sch23 S5.7.1 BC SAG,102,V2,CSBC,2025-07-08,2025-08-05,29,21,Next day after: July 7/25 - V1 sent to Province,Aug 5/25 - V2 rec'd; with Cathy,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""iStore to MySC (Addition)"" -> ""SCO-PROV-721 Amd SCO-557 Sch23 S5.7.1 BC SAG"" (token overlap 1/2; hint matched: istore, score 88).","Oct 2/25 - Adobe Sign
Sept 24/25 - Province confirmed VM will be ordered via SCO
Sept 16/25 - V5 sent to Province - Question with Province: Is Province ok to do iStore orders for virtual servers too? Is so, we can remove all App C charges from this SCO.
Sept 9/25 - V4.1 rec'd; with Cathy
Aug 18/25 - V3 sent to Province
Aug 5/25 - V2 rec'd; with Cathy
July 7/25 - V1 sent to Province
July 4/25 - Dan Deane confirmed servers; SCO updated, with Tyler
Mar 31/25 - With Alex Thompson to confirm servers
Mar 18/25 - Cathy reviewed; hold submission until after March 31"
iStore to MySC (Addition),88,token overlap 1/2; hint matched: istore,SCO-PROV-721 Amd SCO-557 Sch23 S5.7.1 BC SAG,102,V3,ADSL,2025-08-06,2025-08-18,13,9,Next day after: Aug 5/25 - V2 rec'd; with Cathy,Aug 18/25 - V3 sent to Province,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""iStore to MySC (Addition)"" -> ""SCO-PROV-721 Amd SCO-557 Sch23 S5.7.1 BC SAG"" (token overlap 1/2; hint matched: istore, score 88).","Oct 2/25 - Adobe Sign
Sept 24/25 - Province confirmed VM will be ordered via SCO
Sept 16/25 - V5 sent to Province - Question with Province: Is Province ok to do iStore orders for virtual servers too? Is so, we can remove all App C charges from this SCO.
Sept 9/25 - V4.1 rec'd; with Cathy
Aug 18/25 - V3 sent to Province
Aug 5/25 - V2 rec'd; with Cathy
July 7/25 - V1 sent to Province
July 4/25 - Dan Deane confirmed servers; SCO updated, with Tyler
Mar 31/25 - With Alex Thompson to confirm servers
Mar 18/25 - Cathy reviewed; hold submission until after March 31"
iStore to MySC (Addition),88,token overlap 1/2; hint matched: istore,SCO-PROV-721 Amd SCO-557 Sch23 S5.7.1 BC SAG,102,V4.1,CSBC,2025-08-19,2025-09-09,22,16,Next day after: Aug 18/25 - V3 sent to Province,Sept 9/25 - V4.1 rec'd; with Cathy,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""iStore to MySC (Addition)"" -> ""SCO-PROV-721 Amd SCO-557 Sch23 S5.7.1 BC SAG"" (token overlap 1/2; hint matched: istore, score 88).","Oct 2/25 - Adobe Sign
Sept 24/25 - Province confirmed VM will be ordered via SCO
Sept 16/25 - V5 sent to Province - Question with Province: Is Province ok to do iStore orders for virtual servers too? Is so, we can remove all App C charges from this SCO.
Sept 9/25 - V4.1 rec'd; with Cathy
Aug 18/25 - V3 sent to Province
Aug 5/25 - V2 rec'd; with Cathy
July 7/25 - V1 sent to Province
July 4/25 - Dan Deane confirmed servers; SCO updated, with Tyler
Mar 31/25 - With Alex Thompson to confirm servers
Mar 18/25 - Cathy reviewed; hold submission until after March 31"
iStore to MySC (Addition),88,token overlap 1/2; hint matched: istore,SCO-PROV-721 Amd SCO-557 Sch23 S5.7.1 BC SAG,102,V5,ADSL,2025-09-10,2025-09-16,7,5,Next day after: Sept 9/25 - V4.1 rec'd; with Cathy,"Sept 16/25 - V5 sent to Province - Question with Province: Is Province ok to do iStore orders for virtual servers too? Is so, we can remove all App C charges from this SCO.","Lori: please confirm this project/SCO mapping. This is an educated guess: ""iStore to MySC (Addition)"" -> ""SCO-PROV-721 Amd SCO-557 Sch23 S5.7.1 BC SAG"" (token overlap 1/2; hint matched: istore, score 88).","Oct 2/25 - Adobe Sign
Sept 24/25 - Province confirmed VM will be ordered via SCO
Sept 16/25 - V5 sent to Province - Question with Province: Is Province ok to do iStore orders for virtual servers too? Is so, we can remove all App C charges from this SCO.
Sept 9/25 - V4.1 rec'd; with Cathy
Aug 18/25 - V3 sent to Province
Aug 5/25 - V2 rec'd; with Cathy
July 7/25 - V1 sent to Province
July 4/25 - Dan Deane confirmed servers; SCO updated, with Tyler
Mar 31/25 - With Alex Thompson to confirm servers
Mar 18/25 - Cathy reviewed; hold submission until after March 31"
iStore to MySC (Addition),88,token overlap 1/2; hint matched: istore,SCO-PROV-721 Amd SCO-557 Sch23 S5.7.1 BC SAG,102,V5,SIGNINGTIME,2025-10-02,2025-10-02,1,1,Oct 2/25 - Adobe Sign,Oct 2/25 - Adobe Sign,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""iStore to MySC (Addition)"" -> ""SCO-PROV-721 Amd SCO-557 Sch23 S5.7.1 BC SAG"" (token overlap 1/2; hint matched: istore, score 88).","Oct 2/25 - Adobe Sign
Sept 24/25 - Province confirmed VM will be ordered via SCO
Sept 16/25 - V5 sent to Province - Question with Province: Is Province ok to do iStore orders for virtual servers too? Is so, we can remove all App C charges from this SCO.
Sept 9/25 - V4.1 rec'd; with Cathy
Aug 18/25 - V3 sent to Province
Aug 5/25 - V2 rec'd; with Cathy
July 7/25 - V1 sent to Province
July 4/25 - Dan Deane confirmed servers; SCO updated, with Tyler
Mar 31/25 - With Alex Thompson to confirm servers
Mar 18/25 - Cathy reviewed; hold submission until after March 31"
iStore to MySC (Addition),88,token overlap 1/2; hint matched: istore,"SCO-PROV-732 HostSrvr SW(VMware)
(formerly Licensing_Dedicated Hosts)",110,V1,ADSL,2025-04-03,2025-06-02,61,43,Apr 3/25 - with Cathy/Craig,June 2/25 - V1 sent to Province,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""iStore to MySC (Addition)"" -> ""SCO-PROV-732 HostSrvr SW(VMware)
(formerly Licensing_Dedicated Hosts)"" (token overlap 1/2; hint matched: istore, score 88).","Sept 23/25 - Adobe Sign
Sept 18/25 - V4.3 sent to Province; V4.4 sent to Province
Sept 17/25 - V4.2 sent to Province, with responses to questions
Sept 11/25 - V4.1 sent to Province
Sept 10/25 - updated; with Cathy
Sept 5/25 - V4 sent to Province; meeting held with Lina/Carol; with ADSL to update
Aug 26/25 - V3 rec'd; V4 with Cathy, Jessica, Craig
July 31/25 - Jessica sent email to Lina; waiting for direction from Lina
July 30/25 - RM to get info from Lina re requirements 
July 11/25 - Internal meeting scheduled today - With Maria U. and Jess H. to provide info from HUB to give to Province re: iStore PI info, and further discussion on VDI host servers
July 9/25 - V2 rec'd; V3 with Cathy/Craig
June 27/25 - V 1.1 sent to Ptovince
June 2/25 - V1 sent to Province
May 26/25 - Cathy updated SW fee; with Craig
Apr 28/25 - Followed up with Sian, she has a few questions before it can be sent
Apr 15/25 - Follow up with Sian
Apr 9/25 - With Sian
Apr 8/25 - With Tyler
Apr 3/25 - with Cathy/Craig"
iStore to MySC (Addition),88,token overlap 1/2; hint matched: istore,"SCO-PROV-732 HostSrvr SW(VMware)
(formerly Licensing_Dedicated Hosts)",110,V2,CSBC,2025-06-03,2025-07-09,37,27,Next day after: June 2/25 - V1 sent to Province,July 9/25 - V2 rec'd; V3 with Cathy/Craig,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""iStore to MySC (Addition)"" -> ""SCO-PROV-732 HostSrvr SW(VMware)
(formerly Licensing_Dedicated Hosts)"" (token overlap 1/2; hint matched: istore, score 88).","Sept 23/25 - Adobe Sign
Sept 18/25 - V4.3 sent to Province; V4.4 sent to Province
Sept 17/25 - V4.2 sent to Province, with responses to questions
Sept 11/25 - V4.1 sent to Province
Sept 10/25 - updated; with Cathy
Sept 5/25 - V4 sent to Province; meeting held with Lina/Carol; with ADSL to update
Aug 26/25 - V3 rec'd; V4 with Cathy, Jessica, Craig
July 31/25 - Jessica sent email to Lina; waiting for direction from Lina
July 30/25 - RM to get info from Lina re requirements 
July 11/25 - Internal meeting scheduled today - With Maria U. and Jess H. to provide info from HUB to give to Province re: iStore PI info, and further discussion on VDI host servers
July 9/25 - V2 rec'd; V3 with Cathy/Craig
June 27/25 - V 1.1 sent to Ptovince
June 2/25 - V1 sent to Province
May 26/25 - Cathy updated SW fee; with Craig
Apr 28/25 - Followed up with Sian, she has a few questions before it can be sent
Apr 15/25 - Follow up with Sian
Apr 9/25 - With Sian
Apr 8/25 - With Tyler
Apr 3/25 - with Cathy/Craig"
